Course Name,Course Provider,Course Description,# of Students enrolled,# of Ratings
Marketing Analytics with Meta,Meta,"This course explores Meta Marketing Analytics Tools.  Youâll learn how the advertising platform works and youâll learn to create ads using Meta Ads Manager.  Then, youâll learn how Meta reports results and how you can customize the reports to match your business goals.  Youâll also learn how you can use Meta experiments to evaluate the effectiveness of your advertising campaign.  Youâll learn to optimize ads with A/B testing and you will explore how you can integrate data from Meta campaigns in marketing mix modeling. In this course, youâll also find a summary of Metaâs recommended approach to data analysis.  By the end of this course you will be able to:
â¢ Describe how an ad is created and delivered in Meta Ads Manager
â¢ Evaluate campaign results
â¢ Conduct an A/B Test
â¢ Evaluate advertising effectiveness with Conversion Lift Tests
â¢ Evaluate advertising effectiveness with Brand Lift tests
â¢ Choose the best approach to evaluating advertising effectiveness given a scenario
â¢ Explain how and when to apply Marketing Mix Modeling
â¢ Choose the best approach to optimizing your marketing mix given a scenario
â¢ Implement a full analysis process from the formulation of a hypothesis to recommending measurement solutions, performing an analysis, generating insights and presenting results and recommendations

This course is for people who want to learn how to use Meta Ads Manager to conduct advertising effectiveness tests and evaluate their campaign results. 
Learners don't need marketing or data analysis experience, but should have basic internet navigation skills and be eager to participate. Ideally, learners have already completed course 1 (Marketing Analytics Foundation), course 2 (Introduction to Data Analytics), course 3 (Statistics for Marketing), and course 4 (Data Analytics Methods for Marketing) in this program.","6,472 already enrolled",79 ratings
"Brand Management: Aligning Business, Brand and Behaviour",University of London,"Professor Nader Tavassoli of London Business School contrasts traditional approaches to branding - where brands are a visual identity and a promise to customers - to brands as a customer experience delivered by the entire organisation. The course offers a brand workout for your own brands, as well as guest videos from leading branding professionals. The aim of the course is to change the conception of brands as being an organisation's visual identity (e.g., logo) and image (customers' brand associations) to an experience along ""moments-that-matter"" along the customer journey and, therefore, delivered by people across the entire organisation. Brands are thus not only an external promise to customers, but a means of executing business strategy via internal brand-led behaviour and culture change.

You will learn and practice the following skills:

1.	How to build brands from a broad organisational perspective 
2.	How to lead brand-led culture change with human resource practices at the core (i.e., brand as a lever and not just an outcome) 
3.	How to build brands in multi-brand companies, across cultures and geographies
4.	How to measure brand health in new ways, that is, internally in addition to externally
5.	How to value and capture returns to brands across the organisation - introducing the new concept of employee-based brand equity - and how this is different from the valuation of brands as intangible assets. 

This course allows you to develop the following aspects of yourself:

1.	Head. Gain a deeper understanding of the evolving practice of brand management, one that goes further than practiced in most organisations today
2.	Heart. Be motivated to engage in delivering your own brands â regardless of where you are in your organisation â thereby creating superior value for customers and for your organisation
3.	Hands. Translate learnings into action. As Confucius is supposed to have said: âI hear and I forget. I see and I remember. I do and I understand.â","328,706 already enrolled","5,999 ratings"
Social Media Management ,Meta,"This course equips you with critical content creation and management skills. Youâll learn how to create effective social media posts and how to create a strong brand to help you build a social media presence. Youâll also learn how to establish an ongoing process to manage your content. This includes setting up a content calendar, managing and moderating your posts, analyzing data for insights and iteration, and how to increase post effectiveness. You will end the course with real-world application of your skills through a content management project.By the end of this course, you will be able to: 
â¢ Establish and manage a social media presence 
â¢ Create a Facebook business page and an Instagram account for business
â¢ Understand how and why to create content for social media 
â¢ Create a brand, tone, and voice for a social media presence
â¢ Manage a content calendar for your social media presence
â¢ Evaluate the performance of your content on social media and to iterate and optimize the performance
â¢ Create a content calendar for your social media presence
â¢ Manage social media content using real world data

This course is intended for people who want to learn how to create and manage a business presence on social media, including creating content, interacting and engaging with customers on social media and evaluating the results of different posts.  

Learners don't need marketing experience, but they have basic internet navigation skills and are eager to participate and connect in social media.  Having a Facebook or Instagram account helps and ideally learners already completed course 1 (Introduction to Social Media Marketing) in this program.","103,389 already enrolled","3,223 ratings"
Influencer Marketing Strategy,Rutgers the State University of New Jersey,"Influencer marketing is the practice of engaging internal and industry experts with active networks to help achieve measurable business goals. This course is about strategy. Although there is no all-purpose, one-size-fits-all influencer marketing strategy template, you will learn how to tailor one for a wide variety of B2B, B2C, and nonprofit organizations using the two-step flow model of communication.
 
But this course is also about tactics. I believe, âStrategy without tactics is the slowest route to victory. Tactics without strategy is the noise before defeat.â So, you will learn both in this 6-week long course.

Your final project for this course is to create a pitch deck for a social media influencer strategy. The purpose of your final project is to give you a concrete artifact that you can use to demonstrate your mastery of new competencies and skills to either the executives in your current organization or to prospective employers.","40,030 already enrolled",158 ratings
Brand Identity and Strategy,IE Business School,"Brand identity and Strategy is a IE Business School course for those professionals who are ready to adopt a creative approach to empowering brands.Students will go through a journey that starts with understanding what a brand is and how they can build successful ones, whilst simultaneously segmenting their consumers appropriately. The course explores positioning and its importance to successful brands looking at perceptual maps and the well-known iceberg model. It culminates in development of real brand houses, which can be applied to the working world, and how picking the right name, colors and logo can be instrumental to a brandâs success.

The course is delivered by Rhodes Scholar winning Professor, Dr Maria Eizaguirre, a member of IE Business Schoolâs faculty.","49,232 already enrolled",626 ratings
Strategic Management,Copenhagen Business School,"The world of business strategy is in transition. What used to work doesn't anymore -- not necessarily. This course prepares you to think strategically in an age when companies like Apple, Google, and Microsoft have become more valuable (in market cap terms) than companies like Exxon. Today, business value and competitive advantage arise more often from consumer perceptions of what is ""cool"" than from physical assets or economies of scale. 

In this course -- the first of a three-course specialization tailored specifically for the age of creativity and innovation -- you will gear up for the challenges of strategy formulation and implementation in a 21st century business. 

After taking the course, you'll be able to:
- Explain why ""doing"" strategy is considered ""the high point of managerial activity"" (Mintzberg);
- Recognize and avoid the old, tired ideas about strategy that are still out there, so you can adopt fresher, better ideas;
- Point out how doing strategy has changed because of advancing technology and globalization;
- Prepare for the Capstone Project for the Strategic Management and Innovation Specialization","98,023 already enrolled","4,008 ratings"
 Storytelling in Branding and Content Marketing ,IE Business School,"Storytelling in Branding and Content Marketing is an IE University course for professionals who want to learn how to produce memorable content through quality storytelling.Students will go through a learning process that will start with a deep understanding of the term Branded Content and its main differences with traditional advertising, simultaneously creating an effective storyline based on strong brand values and messages. The course analyses the production of quality journalism and explores how to create memorable and long-lasting connections with a given target audience in a world of constant content surplus. It concludes with a deeper insight into the term of Brand Entertainment, giving them the opportunity to amplify their knowledge about how to produce a good call to action and retain the audience's attention.","21,822 already enrolled",218 ratings
Introduction to Social Media Marketing,Meta,"This course lays the foundation of social media marketing. Youâll learn what social media marketing entails, including the history and the different social media channels that exist. Youâll learn how to select a social media channel that fits your needs, set goals and success metrics, and determine who your target audience is.By the end of this course, you will be able to: 
â¢ Understand the landscape of traditional, digital, and social media marketing
â¢ Understand how to become certified as a Digital Marketing Associate 
â¢ Understand the major social media platforms, how they function, and what role they play in marketing
â¢ Create SMART goals and identify KPIs
â¢ Define your target audience and their customer journey
â¢ Choose the right social media platforms and learn how to create social media policies

Whatever level of knowledge you start with, this course will help you build a solid foundation for social media marketing and gain applicable skills that will allow you to make your social media marketing efforts more successful and noticeable.

Learners don't need marketing experience, but should have basic internet navigation skills and be eager to participate and connect in social media.  Learners must have a Facebook account and an Instagram account helps.","257,826 already enrolled","9,006 ratings"
Principles of Public Relations,University of Colorado Boulder,"In this course, learners are exposed to an overview of public relations principles and theories relevant to practice. You will explore the field, including the origin and trends affecting the future of the industry as well as how to land a job in public relations. This course provides a broad overview of working in public relations and how different tenets of persuasion are used in practice. The course also addresses ethical implications of public relations.","5,725 already enrolled",160 ratings
Creative Thinking: Techniques and Tools for Success,Imperial College London,"In todayâs ever-growing and changing world, being able to think creatively and innovatively are essential skills. It can sometimes be challenging to step back and reflect in an environment which is fast paced or when you are required to assimilate large amounts of information. Making sense of or communicating new ideas in an innovative and engaging way, approaching problems from fresh angles, and producing novel solutions are all traits which are highly sought after by employers.This course will equip you with a âtool-boxâ, introducing you to a selection of behaviours and techniques that will augment your innate creativity. Some of the tools are suited to use on your own and others work well for a group, enabling you to leverage the power of several minds.  You can pick and choose which of these tools or techniques suit your needs and interests, focusing on some or all of the selected approaches and in the order that fits best for you.

The practical approach of this course enables you to acquire an essential skill-set for generating ideas, with plenty of:
- Fun e-tivities and exercises;
- Practical lectures and tips;
- Video representations of the techniques in action.

By the end of this course you should be able to:
- Pick a type of brainstorming you think will be useful to apply to a challenge
- Use alphabet brainstorming in tackling a challenge
- Use grid brainstorming in tackling a challenge
- Use a morphological chart to synthesise a solution to a challenge
- Use the TRIZ contradiction matrix to identify recommended inventive principles
- Apply SCAMPER to a range of challenges

The greatest innovators arenât necessarily the people who have the most original idea. Often, they are people- or teams- that have harnessed their creativity to develop a new perspective or more effective way of communicating an idea. You can train your imagination to seize opportunities, break away from routine and habit, and tap into your natural creativity.

Join this course and a community of practitioners in CREATIVITY!","248,165 already enrolled","3,539 ratings"
